,unique_id,ds,Naive,Naive-lo-70,Naive-lo-80,Naive-lo-90,Naive-hi-70,Naive-hi-80,Naive-hi-90,SeasonalNaive,SeasonalNaive-lo-70,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-hi-70,SeasonalNaive-hi-80,SeasonalNaive-hi-90,WindowAverage,WindowAverage-lo-90,WindowAverage-lo-80,WindowAverage-lo-70,WindowAverage-hi-70,WindowAverage-hi-80,WindowAverage-hi-90,SeasWA,SeasWA-lo-90,SeasWA-lo-80,SeasWA-lo-70,SeasWA-hi-70,SeasWA-hi-80,SeasWA-hi-90,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-lo-80,AutoARIMA-lo-70,AutoARIMA-hi-70,AutoARIMA-hi-80,AutoARIMA-hi-90,y
29,IBOVESPA,2023-10-29,116565.0,108367.41,106428.664,103555.16,124762.59,126701.336,129574.84,117535.0,104742.61,101717.19,97233.055,130327.39,133352.81,137836.94,117226.88,102605.65,103284.3,104491.04,129962.73,131169.47,131848.11,110793.0,102477.2,103027.4,103517.35,118068.65,118558.6,119108.8,116473.0,104706.38,107305.3,109058.77,123887.234,125640.71,128239.625,113301.0
30,IBOVESPA,2023-10-30,116565.0,108231.91,106261.11,103340.1,124898.09,126868.89,129789.9,115742.0,102949.61,99924.19,95440.055,128534.39,131559.81,136043.94,117226.88,102521.15,103245.3,104459.8,129993.97,131208.47,131932.61,110573.71,102239.195,102681.4,103100.7,118046.72,118466.02,118908.23,116473.0,104513.29,107154.86,108937.11,124008.9,125791.15,128432.71,112532.0
31,IBOVESPA,2023-10-31,116565.0,108098.56,106096.24,103128.49,125031.44,127033.76,130001.51,117893.0,105100.61,102075.19,97591.055,130685.39,133710.81,138194.94,117226.88,102766.2,103358.4,104411.734,130042.03,131095.36,131687.56,110979.86,102213.45,102252.91,102365.68,119594.04,119706.81,119746.266,116473.0,104323.27,107006.805,108817.375,124128.63,125939.2,128622.734,113144.0
32,IBOVESPA,2023-11-01,116565.0,107967.3,105933.92,102920.164,125162.7,127196.08,130209.836,117893.0,105100.61,102075.19,97591.055,130685.39,133710.81,138194.94,117226.88,104856.8,105013.6,105659.484,128794.28,129440.164,129596.97,111750.58,104521.35,104617.55,104722.4,118778.76,118883.61,118979.805,116473.0,104136.17,106861.03,108699.484,124246.52,126084.97,128809.836,115053.0
33,IBOVESPA,2023-11-02,116565.0,107838.0,105774.05,102714.96,125292.0,127355.95,130415.04,117893.0,105100.61,102075.19,97591.055,130685.39,133710.81,138194.94,117226.88,104550.0,104872.0,105635.836,128817.93,129581.766,129903.766,111558.86,103799.47,104030.22,104274.0,118843.72,119087.5,119318.25,116473.0,103951.875,106717.44,108583.36,124362.65,126228.56,128994.13,115053.0
34,IBOVESPA,2023-11-03,116565.0,107710.59,105616.51,102512.766,125419.41,127513.49,130617.234,117777.0,104984.61,101959.19,97475.055,130569.39,133594.81,138078.94,117226.88,105635.2,106122.4,107046.836,127406.93,128331.37,128818.56,112026.71,105542.945,105937.9,106289.6,117763.82,118115.52,118510.48,116473.0,103770.25,106575.93,108468.914,124477.09,126370.08,129175.76,118160.0
35,IBOVESPA,2023-11-04,116565.0,107584.99,105461.2,102313.43,125545.01,127668.8,130816.57,117331.0,104538.61,101513.19,97029.055,130123.39,133148.81,137632.94,117226.88,105410.85,105750.7,106517.69,127936.08,128703.06,129042.914,111722.57,104730.49,104913.84,105119.55,118325.59,118531.3,118714.65,116473.0,103591.18,106436.414,108356.08,124589.93,126509.59,129354.83,118160.0
36,IBOVESPA,2023-11-05,116565.0,107461.125,105308.04,102116.84,125668.875,127821.96,131013.16,115985.0,103192.61,100167.19,95683.055,128777.39,131802.81,136286.94,117226.88,104841.6,106065.2,107536.086,126917.68,128388.56,129612.164,110988.14,103267.18,103456.086,103736.664,118239.62,118520.195,118709.1,116473.0,103414.57,106298.81,108244.8,124701.21,126647.195,129531.44,118160.0
37,IBOVESPA,2023-11-06,116565.0,107338.914,105156.93,101922.91,125791.086,127973.07,131207.1,115985.0,103192.61,100167.19,95683.055,128777.39,131802.81,136286.94,117226.88,104958.5,106299.0,107853.39,126600.375,128154.766,129495.266,111788.72,103989.5,104361.01,104817.87,118759.57,119216.43,119587.94,116473.0,103240.32,106163.05,108135.0,124811.01,126782.96,129705.69,118487.0
38,IBOVESPA,2023-11-07,116565.0,107218.305,105007.805,101731.49,125911.695,128122.195,131398.5,115313.0,102520.61,99495.19,95011.055,128105.39,131130.81,135614.94,117226.88,105241.3,106864.6,108608.85,125844.914,127589.164,129212.47,111419.86,104065.9,104513.805,105029.17,117810.55,118325.914,118773.82,116473.0,103068.33,106029.05,108026.625,124919.38,126916.96,129877.68,119268.0
39,IBOVESPA,2023-11-08,116565.0,107099.234,104860.57,101542.52,126030.766,128269.43,131587.47,115313.0,102520.61,99495.19,95011.055,128105.39,131130.81,135614.94,117226.88,104991.05,106861.1,108806.45,125647.31,127592.664,129462.72,111256.43,103881.15,104641.305,105388.21,117124.65,117871.555,118631.71,116473.0,102898.52,105896.74,107919.63,125026.375,127049.266,130047.484,119099.0
40,IBOVESPA,2023-11-09,116565.0,106981.65,104715.164,101355.91,126148.35,128414.836,131774.1,115313.0,102520.61,99495.19,95011.055,128105.39,131130.81,135614.94,117226.88,104868.2,106804.4,108806.45,125647.31,127649.37,129585.56,111200.86,103563.305,104194.6,104853.37,117548.35,118207.12,118838.414,116473.0,102730.805,105766.07,107813.95,125132.055,127179.93,130215.195,119012.0
